Genero, Edad, H_Clases virtuales, Ex_ClasesVirtuales, H_EStudioAutonomo, TiempoEstudio, Promedio_Cv, H_Dormir, Estres_CV, Realiza_Deportes
Masculino,21,6,4,2,2,6.8,5,5,No
Masculino,20,4,4,4,3,8.5,7,2,Si
Femenino,24,4,4,4,4,9.4,7,1,Si
Masculino,22,5,4,7,4,8.9,6,5,No
Masculino,25,3,4,1,1,6.1,6,5,No
Femenino,19,5,3,4,5,8.9,7,2,Si
Femenino,22,4,5,5,5,9.9,8,1,Si
Femenino,24,4,3,6,3,8.5,5,5,No
Femenino,20,5,3,3,3,6.1,6,5,No
Femenino,21,3,3,2,2,7.2,7,4,Si
Masculino,21,6,4,5,3,7.1,8,3,Si
Masculino,26,4,5,4,4,8.3,6,3,No
Masculino,21,5,2,1,1,6,8,5,No
Masculino,23,6,5,7,4,9,5,1,Si
Femenino,20,4,4,5,5,9.6,6,2,Si
Masculino,22,5,5,8,5,9.5,5,1,Si
Masculino,22,2,2,2,3,6.9,5,4,Si
Masculino,22,4,3,6,4,8.8,7,2,No
Femenino,19,5,4,6,5,9.9,7,1,Si
Femenino,25,3,2,5,3,7,7,4,Si
Masculino,20,5,4,7,4,9.02,6,1,Si
Masculino,20,5,2,2,3,6.2,7,5,Si
Masculino,25,3,3,3,3,6.6,8,5,Si
Masculino,22,5,4,7,5,9.3,5,5,No
Masculino,24,6,3,7,4,8.9,8,1,Si
Masculino,26,4,2,3,2,6.3,7,5,Si
Masculino,20,3,3,6,4,9.03,6,1,Si
Masculino,18,7,3,7,2,9.89,7,1,Si
Masculino,24,4,4,2,2,6,6,5,No
Masculino,19,6,4,6,5,9.75,7,1,Si
Masculino,20,5,5,4,3,7.01,4,3,Si
Masculino,21,8,2,5,4,8.60,6,3,Si
Masculino,22,5,5,3,3,6.80,3,4,No
Masculino,18,6,4,1,2,6.20,3,5,No
Masculino,19,7,3,2,2,6.57,4,4,No
Masculino,20,8,2,7,5,9.79,8,1,Si
Masculino,21,5,5,4,3,7.23,4,3,Si
Masculino,22,4,2,2,3,6.3,8,5,No
Masculino,18,8,2,1,2,6.10,3,5,No
Masculino,19,7,3,5,4,8.74,7,3,Si
Femenino,24,3,2,2,4,6.5,8,2,Si
Masculino,20,6,4,3,3,6.89,3,4,No
Masculino,21,5,4,5,4,8.5,7,1,No
Masculino,21,6,4,7,5,9.90,7,1,Si
Masculino,22,8,2,4,3,7.16,3,3,Si
Masculino,18,7,3,2,2,6.48,3,4,No
Femenino,19,7,3,5,4,8.61,5,3,Si
Masculino,19,6,3,2,1,6.5,6,5,No
Femenino,21,5,5,2,2,6.60,3,4,No
Femenino,20,5,5,6,5,9.72,6,1,Si
Masculino,23,3,2,4,3,8.5,5,2,No
Masculino,22,6,3,4,4,8.5,7,2,Si
Femenino,21,7,3,6,5,9.70,7,1,Si
Femenino,22,8,2,7,5,9.91,8,1,Si
Femenino,22,5,3,2,1,6.3,5,5,No
Femenino,18,6,4,2,2,6.41,3,4,No
Femenino,25,4,1,2,1,5.9,6,5,No
Femenino,19,8,2,1,2,6.02,3,5,No
Femenino,22,6,4,5,4,8.78,6,3,Si
Femenino,20,7,3,1,2,6.22,3,5,No
Femenino,23,6,5,5,5,9.1,7,2,Si
Masculino,22,5,4,7,4,9,8,1,Si
Masculino,27,3,5,3,3,7.2,6,4,No
Femenino,20,7,3,1,2,6.22,3,5,No
Masculino,20,3,4,6,5,8.9,6,1,No
Femenino,21,8,2,3,3,6.90,4,4,No
Femenino,24,2,4,4,4,8.3,7,1,Si
Femenino,22,5,5,4,3,7.11,5,3,Si
Masculino,23,5,3,3,4,6.4,8,5,Si
Femenino,18,5,5,5,4,8.55,6,3,Si
Femenino,19,7,3,6,5,9.66,6,1,Si
Femenino,20,8,2,7,5,9.83,8,1,Si
Femenino,24,3,4,2,2,6.1,8,5,No
Femenino,21,5,4,3,3,7.2,6,4,Si
Femenino,18,7,3,3,3,6.81,2,4,No
Femenino,22,4,4,5,5,9,6,1,Si
Femenino,19,8,2,3,3,6.79,3,4,No
Masculino,20,6,5,4,3,8,7,2,Si
Masculino,20,5,5,3,3,7,7,2,Si
Femenino,20,5,5,1,2,6.10,3,5,No
Masculino,25,3,1,1,1,6,5,5,No
Femenino,21,4,4,6,5,9.4,7,1,Si
Femenino,23,4,3,2,2,6.1,8,5,Si
Masculino,25,4,4,5,5,8.9,7,2,Si
Masculino,24,3,3,6,5,9.3,6,1,Si
Masculino,24,3,4,2,2,6.3,7,5,Si
Masculino,21,4,4,3,3,7.04,6,4,Si
Masculino,24,3,1,2,2,6.8,7,4,No
Femenino,21,6,4,4,5,8.3,6,3,Si
Masculino,26,3,5,4,5,8.8,6,1,Si
Femenino,24,3,4,5,5,9.3,7,1,Si
Masculino,22,4,3,2,2,6.5,6,5,No
Femenino,20,6,5,5,5,9.9,7,1,Si
Masculino,21,4,3,3,4,7.9,6,3,Si
Femenino,22,4,3,2,3,7,7,5,Si
Femenino,26,5,4,5,5,8.9,7,2,Si
Masculino,22,3,1,1,1,5.5,5,5,No
Femenino,22,3,4,6,5,9.7,7,1,Si
Masculino,20,4,2,3,4,7.6,5,4,No
Femenino,20,3,1,2,1,6.2,6,5,No
